0,1,2,0,4,2,14,3,4,1,0,12,0,0,0,3,0,1,0,1,0,0,0,1,17,2,1,14,2,1,0,4,1,0,0,0,0,2,1,0,1,0,26,0,1,5,0,1,2,0,0,7,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,7,4,0,46,2,0,0,18,6,0,33,0,0,0,0,0,0,0,0,0,0,0,1,28,13,0,0,2,4,0,25,0,0,2,0,1,11,6,13,1,0,67,0,0,1,1,4,1,1,0,0,2,9,5,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,3,3,0,18,6,3,0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,15,0,3,5,0,0,4,0,0,0,0,0,1,0,3,0,1,21,0,0,6,0,2,1,0,2,0,1,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,5,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,1,0,1,0,0,2,0,0,0,3,1,0,0,6,0,0,0,0,0,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,6,1,0,9,3,7,6,14,1,0,9,0,0,0,4,0,0,0,0,0,3,0,1,7,2,1,8,6,1,0,7,1,0,0,3,0,21,0,0,0,0,32,0,1,5,0,1,0,0,0,6,0,4,0,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4,1,1,22,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,0,0,2,0,4,0,0,0,0,0,1,6,5,0,0,11,0,0,1,0,1,0,0,0,0,0,0,2,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,4,1,30,1,1,0,11,5,0,60,0,0,0,0,0,0,0,0,0,0,1,0,35,6,1,0,0,6,0,21,0,0,1,1,1,19,5,12,1,0,79,0,0,1,0,2,0,0,0,0,1,6,3,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,0,0,15,1,7,0,15,7,1,33,0,0,0,0,0,0,1,3,0,0,0,1,27,5,0,5,2,6,0,10,0,1,0,0,0,11,3,12,2,0,63,0,0,4,0,0,1,0,0,0,1,2,2,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,3,1,0,8,3,1,3,61,5,2,20,0,0,2,0,0,0,0,3,0,0,0,1,53,4,0,2,4,1,0,17,2,0,2,0,2,14,2,6,0,0,92,0,0,2,0,1,0,0,0,3,1,2,1,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,2,0,4,2,0,0,7,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,7,1,0,1,0,3,0,3,0,0,1,0,1,0,0,2,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
